level,order,topic,subtopic,exponents_examples
A1,1,be (present),affirmative/negative/questions,"I am / I'm; you are / aren't; he/she/it is / isn't; Are you…? Yes, I am / No, I'm not"
A1,2,be (present),short answers/wh-questions,"Who are you? Where is it? It's here. What's your name?"
A1,3,Subject/Object/Determinants,personal & object pronouns,"I/you/he/she/it/we/they; me/you/him/her/it/us/them"
A1,4,Determiners,possessives & possessive ’s,"my/your/his/her/its/our/their; John's bag"
A1,5,Determiners,demonstratives,"this/that/these/those"
A1,6,Articles,a/an/the & zero article,"a book; an apple; the bus; Ø water"
A1,7,Nouns,plural formation (regular/irregular core),"books; buses; children"
A1,8,Existence/Location,there is / there are,"There is a table. There are two chairs."
A1,9,Prepositions,place,"in, on, under, next to, between, behind, in front of, opposite"
A1,10,Prepositions,time (basic),"at 7 o’clock; on Monday; in May; on the 5th"
A1,11,Prepositions,movement/direction,"to, from, into, out of, along, across"
A1,12,Have got,affirmative/negative/questions,"I have got / I've got; I haven't got; Have you got…?"
A1,13,Imperatives,basic commands/requests,"Open the book. Please sit down."
A1,14,Modal can,ability/permission/requests,"I can swim. Can I open the window? Can you help me?"
A1,15,Present Simple,affirmative,"I work; She works; They live in Rome."
A1,16,Present Simple,negatives/questions/short answers,"I don't like; She doesn't like; Do you like…? Yes, I do / No, I don't."
A1,17,Adverbs of frequency,placement with Present Simple,"always, usually, often, sometimes, never (before main verb; after be)"
A1,18,Question forms,wh-questions,"What/Where/When/Who/Why/How + do/does…?"
A1,19,Quantifiers,some/any (+ a lot of / much / many basic),"some apples; any milk; a lot of water; many books"
A1,20,Possibility/intention,be going to (plans/near future),"I'm going to visit my friend."
A1,21,Requests/offers,would like (formula),"I'd like a coffee; Would you like…?"
A1,22,Verb be + -ing,Present Continuous for now,"I'm reading. She's cooking right now."
A1,23,Present Simple vs Continuous,basic contrast (routine vs now),"I work every day. I'm working now."
A1,24,Comparatives/Superlatives,regular & common irregular,"bigger/biggest; cheaper/cheapest; better/best"
A1,25,Linkers,coordination & simple cause,"and, but, because, also, too, so"
A1,26,Adjectives,order & basic intensifiers,"a big red car; very/really + adj."
A1,27,Time & date forms,clock time/dates/days/months,"It's nine o'clock; It's on 5th May; on Monday"
A1,28,Yes/No management,short answers/echo,"Yes, I am / No, I'm not; Yes, it is / No, it isn't"
A1,29,Politeness frames,basic softeners,"please, thank you, sorry"

